Date,Close,High,Low,Open,Volume,Target,MA10,MA50,Return,Volatility
2018-03-14,474.4041748046875,478.34144273696813,469.70349445061487,474.0827431579944,4429710,1,468.2611145019531,451.95267822265623,-0.002534012697526178,0.010618469011782072
2018-03-15,475.0870666503906,477.4574897303421,470.8685345575119,474.08265424732423,6101500,0,468.6588653564453,453.1495343017578,0.0014394726732416263,0.008829840052952042
2018-03-16,470.82843017578125,475.04696282690696,469.7637430789239,474.8862470124336,17954826,0,469.1068450927734,454.29215454101563,-0.008963907404667903,0.008678125986404456
2018-03-19,460.7240295410156,474.28359875576103,459.0768027932738,467.65447602855215,7526620,1,468.7392272949219,455.3001837158203,-0.021460897403738355,0.011181625814247878
2018-03-20,467.8753967285156,470.06499611006046,461.467216287025,461.467216287025,8553766,1,469.2695556640625,456.4986492919922,0.015522019102464313,0.01220909700637625
2018-03-21,469.0606689453125,472.2747891607836,466.9312946851299,470.0650815126472,7692994,0,470.2096923828125,457.7481408691406,0.0025333074256193022,0.011921956874570776
2018-03-22,466.56976318359375,473.05822938108105,464.1591729300874,467.8553917013635,6813168,1,470.3965179443359,458.75456176757814,-0.005310412760292982,0.011683988529060592
2018-03-23,469.1007995605469,471.59177196210464,458.9562334106891,460.8244504509628,12008084,0,470.56525268554685,459.7690173339844,0.005424775835628282,0.011663687835385359
2018-03-26,464.1390075683594,468.81957953952593,459.6191514029025,468.81957953952593,8930722,0,469.3398712158203,460.5966528320312,-0.010577240535159405,0.010019908798481494
2018-03-27,463.6368408203125,466.5697451327093,462.06994740743727,466.0474309805568,3802088,0,468.1426177978516,461.2250134277344,-0.0010819317916797022,0.010027179195180128
2018-03-28,454.7176208496094,462.33104755074197,452.4878056085363,462.33104755074197,12558322,1,466.17396240234376,461.65369689941406,-0.019237513470504952,0.011338782610515045
2018-04-02,456.8670349121094,461.8489302339774,450.4990700931245,458.4138202022364,8072702,1,464.3519592285156,462.1036724853516,0.004726920541332724,0.011564929291434437
2018-04-03,458.1928405761719,459.4383512184593,453.23105300368564,455.88269199787976,4077168,0,463.08840026855466,462.2450921630859,0.0029019508144585426,0.011589779816778986
2018-04-04,451.6641540527344,459.84011032565496,449.9767608171002,459.61911997746665,4813302,1,462.1824127197266,462.0209045410156,-0.014248774632156569,0.010458767408203175
2018-04-05,461.0455322265625,462.5521512604035,453.6329371539118,457.83141162103504,7763544,0,461.4994262695312,461.9795245361328,0.02077069452966329,0.011510938157112354
2018-04-06,452.7891845703125,460.42272006883593,450.82052613302943,459.21742499012174,5937742,0,459.8722778320313,461.8473455810547,-0.01790787911201952,0.012504970864421554
2018-04-09,446.4613952636719,452.30709614192546,444.57311921609806,451.9856644964058,7202882,1,457.86144104003904,461.5359777832031,-0.013975133510853555,0.012940504591566017
2018-04-10,447.3251647949219,451.7847465259463,444.11104476628014,446.7626839811936,8926058,1,455.6838775634766,461.024130859375,0.0019347015003163825,0.012693172359418813
2018-04-11,451.684326171875,454.5971225825898,448.57064725007643,449.1732947833278,9025574,1,454.43840942382815,460.52955810546877,0.009744950027462895,0.01325653809690145
2018-04-12,467.0920715332031,471.16999689810575,451.98571435546273,453.77354934147775,17044366,1,454.7839324951172,460.4267071533203,0.034111755641184516,0.017656694182692268
2018-04-13,470.64764404296875,476.45317839027956,462.1302446757251,471.67216452884264,21227038,0,456.37693481445314,460.3347058105469,0.007612144856354863,0.01624202463135205
2018-04-16,455.2801513671875,458.01217342258155,442.7451009751622,442.7451009751622,24745084,0,456.21824645996094,460.0337841796875,-0.03265179985555866,0.019846576526037402
2018-04-17,452.06597900390625,452.94989147037404,447.9679954344052,452.78917565432704,10397940,1,455.6055603027344,459.8325,-0.007059768262748123,0.01992506270878256
